hour,CATCH_SIANG__rate_mm_hr,CATCH_SIANG__accum_6h_mm,CATCH_SIANG__accum_24h_mm,CATCH_SIANG__soil_moisture_pct,CATCH_SUBANSIRI__rate_mm_hr,CATCH_SUBANSIRI__accum_6h_mm,CATCH_SUBANSIRI__accum_24h_mm,CATCH_SUBANSIRI__soil_moisture_pct,CATCH_LOHIT_DIBANG__rate_mm_hr,CATCH_LOHIT_DIBANG__accum_6h_mm,CATCH_LOHIT_DIBANG__accum_24h_mm,CATCH_LOHIT_DIBANG__soil_moisture_pct,CATCH_JIABHARALI__rate_mm_hr,CATCH_JIABHARALI__accum_6h_mm,CATCH_JIABHARALI__accum_24h_mm,CATCH_JIABHARALI__soil_moisture_pct,CATCH_KOPILI_MEGHALAYA__rate_mm_hr,CATCH_KOPILI_MEGHALAYA__accum_6h_mm,CATCH_KOPILI_MEGHALAYA__accum_24h_mm,CATCH_KOPILI_MEGHALAYA__soil_moisture_pct,CATCH_MANAS_BEKI__rate_mm_hr,CATCH_MANAS_BEKI__accum_6h_mm,CATCH_MANAS_BEKI__accum_24h_mm,CATCH_MANAS_BEKI__soil_moisture_pct,CATCH_BARAK_HEADWATERS__rate_mm_hr,CATCH_BARAK_HEADWATERS__accum_6h_mm,CATCH_BARAK_HEADWATERS__accum_24h_mm,CATCH_BARAK_HEADWATERS__soil_moisture_pct,GAUGE_DIBRUGARH,GAUGE_NEMATIGHAT,GAUGE_TEZPUR,GAUGE_PANDU,GAUGE_GOALPARA,GAUGE_DHUBRI,GAUGE_SILCHAR
10,36.6,100.9,203.5,88.1,32.5,93.5,180.0,84.5,28.6,73.3,145.5,80.7,26.6,68.2,113.3,73.0,42.9,117.9,228.7,93.3,17.3,46.7,83.1,68.4,17.4,45.2,87.9,69.0,104.21,83.85,63.85,48.26,34.61,26.98,17.78
11,34.8,99.1,204.6,88.4,35.8,92.9,181.2,84.9,26.3,72.5,146.2,81.0,25.5,70.3,115.7,73.4,45.3,116.3,229.8,93.5,18.5,47.8,84.8,68.9,16.5,45.6,88.9,69.1,104.26,83.91,63.89,48.29,34.63,26.99,17.81
12,38.2,97.2,205.6,88.7,33.5,92.3,182.5,85.2,28.4,71.6,146.9,81.2,27.3,72.4,118.1,73.8,44.7,114.7,230.9,93.7,19.7,49.0,86.6,69.3,19.1,46.1,90.0,69.2,104.32,83.97,63.92,48.33,34.64,27.0,17.83
13,35.6,95.3,206.6,89.0,33.3,91.7,183.7,85.5,28.3,70.6,147.5,81.4,28.5,74.4,120.5,74.1,46.0,113.0,232.0,93.9,20.4,50.2,88.4,69.8,17.8,46.5,91.1,69.4,104.37,84.03,63.96,48.36,34.66,27.02,17.86
14,35.9,93.3,207.6,89.2,34.4,91.0,184.9,85.8,29.1,69.7,148.2,81.6,31.6,76.4,122.9,74.5,44.2,111.4,233.0,94.0,21.9,51.5,90.2,70.3,20.0,47.0,92.3,69.6,104.43,84.1,63.99,48.4,34.68,27.03,17.88
15,38.5,91.4,208.5,89.5,36.6,90.2,186.0,86.1,31.5,68.7,148.7,81.8,33.5,78.3,125.2,74.9,48.6,109.7,233.8,94.2,24.1,52.7,92.1,70.7,20.6,47.6,93.4,69.7,104.49,84.16,64.03,48.44,34.7,27.04,17.91
16,35.6,89.4,209.3,89.7,34.8,89.5,187.0,86.4,29.1,67.8,149.3,82.0,36.3,80.1,127.4,75.3,48.9,108.0,234.6,94.3,25.1,54.0,94.1,71.2,20.1,48.1,94.6,69.9,104.54,84.22,64.07,48.48,34.71,27.06,17.94
17,37.0,87.5,209.9,90.0,35.8,88.7,188.0,86.7,30.9,66.8,149.7,82.2,37.5,81.8,129.5,75.7,45.2,106.3,235.3,94.5,24.9,55.4,96.0,71.7,20.8,48.7,95.9,70.1,104.6,84.29,64.11,48.52,34.73,27.07,17.97
18,38.4,85.6,210.5,90.2,37.1,87.9,188.8,87.0,32.3,65.8,150.1,82.4,38.4,83.4,131.6,76.1,47.3,104.6,235.8,94.6,27.3,56.7,98.0,72.2,22.5,49.4,97.1,70.3,104.65,84.35,64.15,48.56,34.76,27.09,18.0
19,35.2,83.7,210.9,90.4,35.2,87.0,189.4,87.2,28.9,64.8,150.4,82.6,37.0,84.7,133.4,76.5,47.1,102.9,236.2,94.7,28.5,58.1,100.0,72.7,23.2,50.1,98.4,70.6,104.71,84.41,64.19,48.6,34.78,27.1,18.03
20,33.9,81.8,211.1,90.6,35.0,86.1,189.9,87.5,29.1,63.9,150.5,82.7,38.1,85.9,135.2,76.8,44.8,101.2,236.4,94.8,29.6,59.4,102.0,73.2,23.6,50.8,99.7,70.8,104.76,84.47,64.23,48.64,34.8,27.12,18.06
21,35.1,80.0,211.1,90.7,36.5,85.1,190.2,87.6,28.5,62.9,150.6,82.8,40.1,86.8,136.7,77.1,44.5,99.6,236.4,94.9,29.1,60.8,104.0,73.6,24.0,51.5,101.0,71.1,104.81,84.53,64.27,48.68,34.82,27.14,18.1
22,34.0,78.3,211.0,90.8,33.1,84.1,190.4,87.8,28.3,61.9,150.5,82.9,40.7,87.5,138.0,77.4,42.8,98.0,236.2,95.0,30.3,62.2,106.0,74.1,22.6,52.3,102.3,71.4,104.86,84.59,64.32,48.72,34.85,27.16,18.13
23,31.8,76.6,210.6,90.9,34.1,83.1,190.3,87.9,28.4,60.9,150.3,83.0,38.7,87.9,139.1,77.7,44.2,96.5,235.7,95.0,28.8,63.6,108.0,74.6,23.4,53.1,103.7,71.7,104.91,84.65,64.36,48.76,34.87,27.18,18.16
24,28.0,75.0,210.0,91.0,30.0,82.0,190.0,88.0,25.0,60.0,150.0,83.0,36.0,88.0,140.0,78.0,38.0,95.0,235.0,95.0,28.0,65.0,110.0,75.0,22.0,54.0,105.0,72.0,104.95,84.7,64.4,48.8,34.9,27.2,18.2
25,28.1,73.4,209.2,91.0,31.4,80.8,189.5,88.1,25.1,59.0,149.5,83.0,34.9,87.8,140.7,78.3,37.8,93.5,234.1,95.0,31.1,66.5,112.1,75.4,24.2,54.9,106.4,72.4,104.99,84.75,64.44,48.84,34.93,27.22,18.24
26,25.8,71.9,208.2,91.0,29.7,79.6,188.8,88.1,23.2,58.1,149.0,83.0,37.7,87.4,141.2,78.5,38.2,92.1,232.9,95.0,30.4,68.2,114.3,75.9,21.6,56.0,107.8,72.7,105.04,84.81,64.49,48.89,34.96,27.25,18.27
27,26.3,70.3,207.0,91.0,26.3,78.3,188.0,88.1,23.8,57.1,148.3,83.0,33.5,86.7,141.7,78.8,36.8,90.6,231.6,94.9,29.0,70.0,116.7,76.4,22.1,57.1,109.3,73.2,105.09,84.87,64.55,48.94,34.99,27.27,18.31
28,23.6,68.7,205.7,91.0,25.8,76.9,187.0,88.1,21.6,56.1,147.5,82.9,32.2,85.8,142.0,79.0,31.4,89.1,230.1,94.9,27.4,72.0,119.3,76.9,21.9,58.2,110.8,73.6,105.13,84.93,64.6,48.99,35.02,27.3,18.36
29,22.9,67.2,204.3,91.0,23.8,75.4,185.9,88.0,21.1,55.0,146.7,82.9,29.7,84.6,142.2,79.3,31.6,87.6,228.4,94.8,27.0,74.2,121.9,77.4,23.4,59.5,112.4,74.1,105.18,85.0,64.66,49.04,35.06,27.32,18.4
30,22.7,65.6,202.7,90.9,22.9,73.9,184.7,88.0,19.1,54.0,145.8,82.8,31.9,83.3,142.3,79.5,29.2,86.1,226.5,94.8,29.2,76.4,124.7,77.9,21.1,60.7,113.9,74.6,105.23,85.06,64.72,49.09,35.09,27.35,18.44
31,19.5,64.0,200.9,90.9,23.2,72.3,183.3,87.9,19.4,52.9,144.8,82.7,29.2,81.8,142.3,79.8,28.4,84.6,224.5,94.7,28.2,78.6,127.5,78.4,20.9,62.1,115.6,75.1,105.28,85.13,64.79,49.15,35.13,27.38,18.49
32,18.9,62.5,199.1,90.8,21.9,70.7,181.9,87.8,18.4,51.9,143.7,82.6,28.5,80.2,142.2,80.0,30.2,83.1,222.4,94.6,31.2,81.0,130.4,78.9,24.2,63.4,117.2,75.6,105.33,85.19,64.85,49.21,35.16,27.41,18.54
33,19.6,60.9,197.1,90.7,22.6,69.0,180.3,87.7,18.8,50.8,142.6,82.5,27.4,78.5,142.0,80.3,28.1,81.6,220.2,94.5,31.3,83.3,133.3,79.4,23.2,64.8,118.9,76.1,105.38,85.26,64.91,49.26,35.2,27.44,18.58
34,19.8,59.4,195.0,90.6,21.0,67.4,178.6,87.6,17.6,49.7,141.3,82.4,26.9,76.6,141.8,80.5,29.6,80.1,217.8,94.4,31.3,85.7,136.2,80.0,24.1,66.3,120.6,76.7,105.43,85.33,64.98,49.32,35.24,27.47,18.63
35,19.0,57.9,192.9,90.4,20.9,65.7,176.8,87.5,18.4,48.6,140.1,82.3,28.4,74.6,141.4,80.7,27.5,78.6,215.4,94.3,34.0,88.0,139.0,80.5,24.0,67.7,122.3,77.2,105.47,85.39,65.05,49.38,35.28,27.5,18.68
36,18.7,56.4,190.6,90.3,21.8,63.9,175.0,87.3,16.7,47.5,138.8,82.1,27.8,72.6,140.9,80.9,29.4,77.1,212.8,94.1,34.1,90.2,141.9,81.0,26.9,69.2,124.1,77.8,105.52,85.45,65.11,49.43,35.32,27.53,18.73
37,20.1,54.9,188.3,90.2,22.1,62.2,173.1,87.2,17.2,46.4,137.4,82.0,27.6,70.6,140.4,81.1,28.4,75.6,210.2,94.0,35.7,92.4,144.7,81.5,28.2,70.7,125.8,78.4,105.56,85.51,65.17,49.49,35.36,27.56,18.78
38,19.6,53.4,185.9,90.0,22.7,60.5,171.1,87.0,18.1,45.3,135.9,81.8,29.1,68.4,139.8,81.3,29.5,74.1,207.5,93.8,38.1,94.6,147.3,82.0,28.0,72.1,127.6,78.9,105.6,85.57,65.23,49.55,35.4,27.6,18.83
39,19.4,52.0,183.4,89.8,22.0,58.8,169.1,86.8,17.6,44.2,134.5,81.7,29.0,66.3,139.1,81.5,28.5,72.6,204.8,93.7,41.2,96.5,149.9,82.5,30.1,73.6,129.3,79.5,105.64,85.63,65.29,49.6,35.44,27.63,18.88
40,19.6,50.5,180.9,89.7,22.6,57.1,167.0,86.6,17.5,43.1,133.0,81.5,26.8,64.2,138.3,81.6,31.2,71.1,202.0,93.5,43.8,98.4,152.4,83.0,33.4,75.0,131.1,80.1,105.68,85.68,65.35,49.65,35.49,27.66,18.93
41,19.0,49.1,178.4,89.5,22.4,55.4,164.9,86.4,17.3,42.1,131.4,81.3,26.3,62.1,137.5,81.8,30.9,69.7,199.2,93.3,45.7,100.0,154.7,83.4,32.6,76.4,132.9,80.6,105.72,85.73,65.4,49.7,35.53,27.7,18.98
42,17.9,47.7,175.8,89.3,21.3,53.8,162.8,86.2,15.8,41.0,129.8,81.1,26.5,60.1,136.6,81.9,31.7,68.3,196.4,93.2,47.0,101.5,156.9,83.9,33.9,77.8,134.6,81.2,105.75,85.78,65.45,49.75,35.57,27.73,19.02
43,18.8,46.4,173.2,89.1,20.1,52.2,160.7,86.0,15.7,40.0,128.2,80.9,27.3,58.1,135.6,82.0,30.9,66.8,193.6,93.0,48.5,102.8,158.8,84.3,36.0,79.1,136.4,81.7,105.77,85.82,65.5,49.79,35.61,27.77,19.07
44,17.1,45.0,170.5,88.9,19.4,50.6,158.5,85.8,15.4,38.9,126.6,80.8,25.7,56.3,134.6,82.0,28.8,65.4,190.8,92.8,48.5,103.8,160.6,84.7,36.1,80.4,138.2,82.2,105.8,85.86,65.54,49.83,35.65,27.81,19.12
45,17.4,43.7,167.9,88.7,19.3,49.1,156.4,85.6,15.0,37.9,125.0,80.6,23.6,54.5,133.5,82.1,29.5,64.0,188.1,92.6,45.7,104.6,162.1,85.0,39.1,81.7,139.9,82.7,105.82,85.89,65.58,49.87,35.69,27.84,19.17
46,16.6,42.4,165.2,88.5,19.1,47.7,154.2,85.4,14.6,36.9,123.3,80.4,22.6,52.8,132.4,82.1,28.6,62.7,185.3,92.4,47.4,105.0,163.3,85.4,36.6,82.8,141.6,83.1,105.83,85.92,65.61,49.9,35.73,27.88,19.21
47,14.9,41.2,162.6,88.2,18.1,46.3,152.1,85.2,12.9,36.0,121.7,80.2,22.1,51.3,131.2,82.0,26.4,61.3,182.6,92.2,45.6,105.2,164.3,85.7,36.6,84.0,143.3,83.6,105.84,85.94,65.63,49.93,35.76,27.91,19.26
48,14.0,40.0,160.0,88.0,16.0,45.0,150.0,85.0,12.0,35.0,120.0,80.0,20.0,50.0,130.0,82.0,24.0,60.0,180.0,92.0,42.0,105.0,165.0,86.0,35.0,85.0,145.0,84.0,105.85,85.95,65.65,49.95,35.8,27.95,19.3
49,13.7,38.8,157.3,87.8,15.7,43.8,147.8,84.8,11.9,34.1,118.3,79.8,20.5,48.8,128.6,81.9,24.0,58.7,177.3,91.8,43.3,104.4,165.4,86.3,34.5,86.0,146.7,84.4,105.85,85.96,65.66,49.97,35.84,27.99,19.34
50,13.7,37.6,154.4,87.5,14.5,42.5,145.5,84.5,11.4,33.1,116.4,79.6,18.9,47.5,127.1,81.8,22.5,57.3,174.5,91.5,41.2,103.5,165.4,86.5,37.6,87.0,148.5,84.8,105.84,85.96,65.67,49.98,35.88,28.03,19.39
51,11.6,36.5,151.3,87.2,14.6,41.3,143.0,84.3,11.1,32.1,114.4,79.4,17.3,46.3,125.3,81.6,20.8,56.0,171.5,91.3,39.2,102.1,165.1,86.7,35.4,87.9,150.3,85.2,105.83,85.95,65.66,49.99,35.91,28.07,19.43
52,11.0,35.3,148.1,86.9,12.7,40.1,140.5,84.0,9.2,31.1,112.2,79.1,17.3,45.2,123.4,81.4,21.1,54.6,168.4,91.0,38.5,100.5,164.6,86.9,32.3,88.8,152.1,85.5,105.81,85.93,65.66,50.0,35.95,28.11,19.48
53,10.8,34.2,144.7,86.5,13.4,38.9,137.8,83.7,9.2,30.2,110.0,78.8,16.2,44.0,121.3,81.1,20.2,53.2,165.2,90.7,36.6,98.5,163.8,87.0,34.3,89.7,154.0,85.9,105.79,85.91,65.64,50.0,35.99,28.16,19.52
54,10.4,33.1,141.2,86.2,12.2,37.7,135.0,83.4,8.6,29.2,107.7,78.6,15.3,42.9,119.1,80.9,18.9,51.9,161.9,90.4,34.9,96.2,162.8,87.2,33.3,90.6,155.9,86.3,105.76,85.89,65.63,50.0,36.04,28.21,19.57
55,10.0,32.0,137.7,85.8,11.2,36.6,132.2,83.0,8.8,28.2,105.4,78.3,14.0,41.7,116.8,80.6,16.6,50.5,158.6,90.0,33.3,93.8,161.6,87.3,34.2,91.5,157.9,86.6,105.73,85.85,65.6,50.0,36.08,28.25,19.62
56,9.0,30.9,134.1,85.4,10.8,35.4,129.3,82.7,7.4,27.2,103.0,78.0,13.0,40.7,114.4,80.2,16.7,49.1,155.2,89.7,30.8,91.1,160.2,87.4,31.5,92.3,159.8,87.0,105.69,85.82,65.58,49.99,36.12,28.3,19.66
57,8.8,29.8,130.4,85.0,10.7,34.3,126.3,82.4,7.2,26.3,100.5,77.7,13.0,39.6,112.0,79.9,17.3,47.8,151.8,89.4,31.3,88.2,158.7,87.5,32.8,93.1,161.8,87.3,105.66,85.78,65.55,49.98,36.16,28.35,19.71
58,8.7,28.8,126.7,84.6,10.9,33.3,123.4,82.0,7.1,25.3,98.1,77.4,12.5,38.6,109.5,79.5,16.0,46.4,148.4,89.0,29.7,85.2,157.0,87.6,32.8,93.9,163.7,87.6,105.62,85.74,65.52,49.97,36.2,28.4,19.75
59,8.5,27.8,123.0,84.2,10.7,32.2,120.4,81.7,7.1,24.4,95.6,77.1,13.6,37.6,106.9,79.1,16.4,45.1,144.9,88.7,30.6,82.2,155.3,87.6,34.5,94.7,165.6,87.9,105.57,85.7,65.49,49.96,36.24,28.45,19.8
60,8.7,26.8,119.4,83.8,10.4,31.2,117.5,81.3,6.9,23.4,93.1,76.8,12.5,36.6,104.4,78.8,17.1,43.8,141.6,88.3,30.6,79.0,153.4,87.7,35.6,95.4,167.5,88.2,105.53,85.65,65.45,49.95,36.28,28.5,19.84
61,9.0,25.9,115.8,83.4,10.4,30.2,114.6,81.0,7.4,22.5,90.7,76.5,13.8,35.7,101.8,78.4,16.8,42.6,138.2,88.0,30.3,75.8,151.6,87.7,38.9,96.1,169.4,88.5,105.49,85.61,65.42,49.93,36.32,28.54,19.89
62,8.6,24.9,112.2,83.0,10.9,29.2,111.8,80.6,7.5,21.7,88.3,76.2,13.8,34.8,99.3,78.0,16.6,41.3,135.0,87.6,27.8,72.6,149.7,87.8,40.4,96.8,171.2,88.8,105.44,85.56,65.38,49.92,36.36,28.59,19.93
63,8.7,24.1,108.7,82.6,9.9,28.3,109.0,80.3,7.4,20.8,86.0,75.9,13.1,33.9,96.8,77.6,16.2,40.1,131.8,87.3,28.9,69.5,147.8,87.8,41.4,97.5,172.9,89.1,105.4,85.51,65.35,49.9,36.4,28.64,19.97
64,8.7,23.2,105.4,82.3,10.9,27.4,106.3,80.0,7.1,20.0,83.7,75.7,13.4,33.1,94.4,77.2,15.7,39.0,128.7,87.0,27.6,66.4,145.9,87.8,43.2,98.1,174.6,89.4,105.36,85.47,65.31,49.89,36.43,28.68,20.01
65,7.8,22.4,102.1,81.9,10.8,26.6,103.7,79.6,7.2,19.2,81.5,75.4,13.3,32.3,92.1,76.9,16.5,37.9,125.7,86.6,25.5,63.4,144.1,87.8,40.8,98.7,176.3,89.6,105.31,85.42,65.27,49.87,36.47,28.72,20.05
66,7.6,21.6,99.1,81.6,9.7,25.8,101.2,79.4,6.4,18.5,79.5,75.1,12.6,31.6,89.9,76.5,16.4,36.9,122.9,86.4,24.9,60.5,142.4,87.9,43.4,99.3,177.8,89.9,105.27,85.38,65.24,49.86,36.5,28.76,20.08
67,8.1,20.9,96.2,81.2,9.7,25.0,98.9,79.1,6.8,17.8,77.5,74.9,12.0,30.9,87.8,76.2,16.0,35.9,120.3,86.1,25.5,57.8,140.8,87.9,43.3,99.8,179.3,90.1,105.24,85.34,65.21,49.84,36.53,28.8,20.12
68,7.6,20.2,93.4,80.9,9.9,24.3,96.8,78.8,6.1,17.1,75.7,74.7,12.0,30.2,85.9,75.9,14.1,35.0,117.8,85.8,24.4,55.3,139.2,87.9,44.3,100.3,180.6,90.3,105.2,85.3,65.18,49.83,36.56,28.84,20.15
69,7.4,19.6,91.0,80.7,9.5,23.7,94.8,78.6,6.3,16.5,74.0,74.5,12.3,29.6,84.1,75.6,14.7,34.1,115.5,85.6,21.6,53.1,137.9,87.9,46.0,100.8,181.9,90.5,105.17,85.27,65.15,49.82,36.58,28.87,20.18
70,6.9,19.0,88.7,80.4,8.7,23.1,93.0,78.4,6.1,16.0,72.5,74.3,11.2,29.0,82.5,75.4,13.8,33.3,113.4,85.4,20.5,51.1,136.7,87.9,43.1,101.2,183.1,90.7,105.14,85.24,65.13,49.81,36.61,28.9,20.2
71,6.8,18.5,86.7,80.2,8.5,22.5,91.4,78.2,5.3,15.4,71.1,74.1,11.4,28.5,81.2,75.2,12.9,32.6,111.6,85.2,20.7,49.4,135.7,88.0,45.2,101.6,184.1,90.8,105.12,85.22,65.11,49.8,36.63,28.93,20.23
72,6.0,18.0,85.0,80.0,8.0,22.0,90.0,78.0,5.0,15.0,70.0,74.0,10.0,28.0,80.0,75.0,12.0,32.0,110.0,85.0,18.0,48.0,135.0,88.0,40.0,102.0,185.0,91.0,105.1,85.2,65.1,49.8,36.65,28.95,20.25
